Date,EM (EMERGING MARKETS) Standard (Large+Mid Cap) ,WORLD MOMENTUM Standard (Large+Mid Cap) Momentum,WORLD QUALITY Standard (Large+Mid Cap) Quality,WORLD SMALL CAP Small Cap ,WORLD VALUE Standard (Large+Mid Cap) Value,WORLD Standard (Large+Mid Cap) 
"Dec 31, 1969",,,,,,100.000
"Jan 30, 1970",,,,,,94.450
"Feb 27, 1970",,,,,,97.410
"Mar 31, 1970",,,,,,97.710
"Apr 30, 1970",,,,,,88.580
"May 29, 1970",,,,,,82.990
"Jun 30, 1970",,,,,,80.950
"Jul 31, 1970",,,,,,85.970
"Aug 31, 1970",,,,,,88.800
"Sep 30, 1970",,,,,,91.670
"Oct 30, 1970",,,,,,90.310
"Nov 30, 1970",,,,,,92.340
"Dec 31, 1970",,,,,,96.920
"Jan 29, 1971",,,,,,101.370
"Feb 26, 1971",,,,,,102.440
"Mar 31, 1971",,,,,,106.930
"Apr 30, 1971",,,,,,110.430
"May 31, 1971",,,,,,107.810
"Jun 30, 1971",,,,,,108.910
"Jul 30, 1971",,,,,,107.170
"Aug 31, 1971",,,,,,109.510
"Sep 30, 1971",,,,,,108.470
"Oct 29, 1971",,,,,,104.350
"Nov 30, 1971",,,,,,105.230
"Dec 31, 1971",,,,,,114.710
"Jan 31, 1972",,,,,,118.910
"Feb 29, 1972",,,,,,123.470
"Mar 31, 1972",,,,,,125.190
"Apr 28, 1972",,,,,,126.850
"May 31, 1972",,,,,,129.430
"Jun 30, 1972",,,,,,126.430
"Jul 31, 1972",,,,,,128.380
"Aug 31, 1972",,,,,,132.030
"Sep 29, 1972",,,,,,130.020
"Oct 31, 1972",,,,,,131.090
"Nov 30, 1972",,,,,,137.970
"Dec 29, 1972",,,,,,140.500
"Jan 31, 1973",,,,,,140.830
"Feb 28, 1973",,,,,,141.800
"Mar 30, 1973",,,,,,142.000
"Apr 30, 1973",,,,,,134.840
"May 31, 1973",,,,,,134.440
"Jun 29, 1973",,,,,,135.280
"Jul 31, 1973",,,,,,138.510
"Aug 31, 1973",,,,,,132.740
"Sep 28, 1973",,,,,,136.580
"Oct 31, 1973",,,,,,137.960
"Nov 30, 1973",,,,,,120.070
"Dec 31, 1973",,,,,,119.090
"Jan 31, 1974",,,,,,120.000
"Feb 28, 1974",,,,,,121.870
"Mar 29, 1974",,,,,,118.780
"Apr 30, 1974",,,,,,116.800
"May 31, 1974",,,,,,112.100
"Jun 28, 1974",,,,,,108.570
"Jul 31, 1974",,,,,,102.140
"Aug 30, 1974",,,,,,92.290
"Sep 30, 1974",,,,,,83.680
"Oct 31, 1974",,,,,,91.690
"Nov 29, 1974",,,,,,90.260
"Dec 31, 1974",,,,,100.000,88.760
"Jan 31, 1975",,,,,115.300,101.700
"Feb 28, 1975",,,,,123.180,110.680
"Mar 31, 1975",,,,,123.020,111.490
"Apr 30, 1975",,,,,128.210,116.110
"May 30, 1975",,,,,131.330,118.860
